00.00,04.30,17.69,29.21,39.12,47.64,54.96,61.26,66.68,71.35,75.36,78.80
00.00,03.26,15.96,27.66,37.47,46.03,53.36,59.66,65.08,69.74,73.75,77.20
00.00,-02.5,13.39,26.22,36.04,44.58,51.91,58.21,63.63,68.29,72.30,75.75
00.00,-01.3,-01.0,24.86,34.66,43.19,50.52,56.82,62.24,66.90,70.91,74.36
00.00,-00.8,-01.0,23.67,33.43,41.95,49.28,55.58,61.00,65.66,69.67,73.12
00.00,-00.5,-01.0,01.21,32.07,40.57,47.90,54.20,59.62,64.28,68.29,71.74
00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
00.00,-03.6,12.33,25.47,34.52,43.52,50.85,57.15,62.57,67.23,71.24,74.69
00.00,-03.3,02.05,24.61,34.65,43.22,50.55,56.85,62.27,66.93,70.94,74.39
00.00,-01.5,-00.7,23.72,33.57,42.09,49.42,55.72,61.14,65.80,69.81,73.26
00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
00.00,-00.5,-01.0,-01.4,30.88,39.36,46.69,52.99,58.41,63.08,67.08,70.53
00.00,06.12,19.65,30.03,38.24,45.30,51.37,56.73,61.82,66.41,70.40,73.85
00.00,-02.4,18.01,27.90,36.84,44.08,50.29,55.72,61.24,65.89,69.90,73.35
00.00,-03.5,14.64,25.70,34.66,42.01,48.31,54.56,59.98,64.64,68.65,72.10
00.00,-03.2,00.88,24.29,33.56,40.99,48.21,54.50,59.92,64.58,68.59,72.04
00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
00.00,-00.5,-01.0,-01.4,30.41,37.35,45.50,51.80,57.22,61.88,65.89,69.34
00.00,08.13,19.68,29.00,37.03,44.15,50.23,55.57,60.61,65.24,69.23,72.68
00.00,-00.6,19.65,29.03,37.15,44.28,50.38,55.71,60.76,65.75,69.75,73.20
00.00,-01.7,18.14,27.75,35.94,43.07,49.18,54.58,59.59,64.53,68.53,71.98
00.00,-04.4,14.55,25.21,33.79,40.93,47.13,52.59,57.58,62.43,66.47,69.92
00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
00.00,-00.9,-01.0,23.35,31.47,38.41,44.37,50.62,56.04,60.70,64.71,68.16
00.00,10.10,20.82,30.14,38.16,45.05,50.98,56.08,60.46,64.23,67.48,71.46
00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00,00.00
00.00,-01.7,18.52,28.50,36.62,43.62,49.64,54.87,59.57,64.45,68.46,71.91
00.00,-03.7,17.15,27.21,35.38,42.39,48.42,53.65,58.33,63.17,67.17,70.62
00.00,-01.6,13.61,25.09,33.26,40.25,46.28,51.49,56.13,60.92,64.91,68.35
00.00,-01.4,00.48,24.43,32.54,39.48,45.45,50.58,55.07,59.94,63.93,67.37
00.00,11.13,21.98,31.29,39.31,46.20,52.13,57.23,61.62,65.39,68.63,72.11
00.00,08.91,19.62,28.94,36.96,43.85,49.78,54.88,59.26,63.04,66.28,69.70
00.00,02.91,18.50,27.89,35.92,42.82,48.76,53.88,58.51,63.24,67.16,70.60
00.00,00.58,18.52,27.98,36.07,42.99,48.94,54.06,58.55,63.33,67.26,70.69
00.00,-00.2,17.00,26.67,34.77,41.70,47.65,52.78,57.27,62.00,65.94,69.37
00.00,-01.1,14.30,25.44,33.54,40.47,46.43,51.56,56.04,60.73,64.67,68.10